"Neighbourhood","Neighbourhood Id","Combined Indicators","Drug Arrests","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Murders","Thefts","Arsons","Pop - Males","Pop - Females","Child 0-14","Youth 15-24","   Chinese","   South Asian","   Black","   Latin American","   Arab","   Unemployed"
"West Humber-Clairville",1.0,"N/A",29.0,259.0,31.0,131.0,82.0,316.0,3.0,38.0,2.0,16625.0,16690.0,5060.0,5445.0,470.0,13920.0,6260.0,1300.0,240.0,1705.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",24.0,213.0,16.0,34.0,81.0,42.0,1.0,3.0,1.0,16070.0,16890.0,7090.0,5240.0,285.0,11095.0,8390.0,1085.0,2650.0,1785.0
"Thistletown-Beaumond Heights",3.0,"N/A",7.0,35.0,3.0,23.0,12.0,13.0,0.0,1.0,0.0,5055.0,5300.0,1730.0,1410.0,110.0,2555.0,1645.0,660.0,380.0,525.0
"Rexdale-Kipling",4.0,"N/A",11.0,57.0,5.0,16.0,15.0,22.0,0.0,0.0,1.0,5130.0,5395.0,1640.0,1355.0,165.0,1420.0,1470.0,850.0,110.0,600.0
"Elms-Old Rexdale",5.0,"N/A",9.0,53.0,2.0,9.0,14.0,16.0,0.0,0.0,0.0,4520.0,4935.0,1805.0,1440.0,105.0,840.0,2930.0,765.0,40.0,465.0
"Kingsview Village-The Westway",6.0,"N/A",12.0,110.0,6.0,34.0,22.0,42.0,2.0,5.0,2.0,10575.0,11420.0,4240.0,3020.0,410.0,3630.0,5340.0,980.0,275.0,1020.0
"Willowridge-Martingrove-Richview",7.0,"N/A",6.0,88.0,6.0,32.0,38.0,48.0,0.0,4.0,0.0,10635.0,11515.0,3555.0,2625.0,515.0,2340.0,2960.0,935.0,135.0,920.0
"Humber Heights-Westmount",8.0,"N/A",3.0,25.0,0.0,24.0,8.0,17.0,1.0,4.0,2.0,4895.0,6060.0,1450.0,1140.0,100.0,325.0,1150.0,485.0,50.0,380.0
"Edenbridge-Humber Valley",9.0,"N/A",3.0,26.0,6.0,46.0,3.0,29.0,0.0,1.0,0.0,7305.0,8235.0,2120.0,1805.0,370.0,390.0,795.0,675.0,100.0,510.0
"Princess-Rosethorn",10.0,"N/A",4.0,25.0,6.0,33.0,20.0,24.0,1.0,3.0,0.0,5430.0,5620.0,1770.0,1580.0,500.0,590.0,160.0,165.0,20.0,355.0
"Eringate-Centennial-West Deane",11.0,"N/A",7.0,52.0,5.0,28.0,15.0,29.0,0.0,5.0,1.0,8915.0,9670.0,2635.0,2405.0,790.0,1275.0,975.0,400.0,145.0,750.0
"Markland Wood",12.0,"N/A",2.0,23.0,1.0,18.0,8.0,13.0,0.0,2.0,0.0,4920.0,5635.0,1340.0,1165.0,260.0,230.0,180.0,135.0,45.0,335.0
"Etobicoke West Mall",13.0,"N/A",0.0,40.0,3.0,13.0,3.0,15.0,1.0,0.0,1.0,5630.0,6220.0,1695.0,1460.0,335.0,1165.0,790.0,445.0,170.0,505.0
"Islington-City Centre West",14.0,"N/A",30.0,186.0,27.0,104.0,33.0,134.0,0.0,37.0,4.0,20950.0,23020.0,5820.0,4695.0,1875.0,3525.0,3055.0,1330.0,680.0,1870.0
"Kingsway South",15.0,"N/A",10.0,24.0,2.0,27.0,8.0,9.0,0.0,1.0,1.0,4340.0,4930.0,1580.0,1100.0,300.0,205.0,80.0,55.0,20.0,360.0
"Stonegate-Queensway",16.0,"N/A",11.0,66.0,3.0,50.0,12.0,12.0,0.0,5.0,1.0,12255.0,12795.0,4060.0,2495.0,565.0,925.0,585.0,400.0,110.0,935.0
"Mimico",17.0,"N/A",24.0,206.0,17.0,47.0,8.0,33.0,1.0,14.0,1.0,16525.0,17430.0,3505.0,3010.0,1635.0,1865.0,1730.0,985.0,340.0,1305.0
"New Toronto",18.0,"N/A",16.0,82.0,13.0,41.0,15.0,11.0,1.0,6.0,0.0,5560.0,5750.0,1610.0,1390.0,340.0,590.0,1250.0,290.0,95.0,565.0
"Long Branch",19.0,"N/A",4.0,48.0,2.0,28.0,6.0,14.0,0.0,0.0,0.0,5010.0,5070.0,1335.0,1130.0,200.0,330.0,470.0,255.0,55.0,440.0
"Alderwood",20.0,"N/A",4.0,31.0,1.0,26.0,8.0,18.0,0.0,8.0,1.0,5885.0,6165.0,1760.0,1235.0,275.0,540.0,300.0,180.0,90.0,415.0
"Humber Summit",21.0,"N/A",12.0,91.0,8.0,39.0,19.0,61.0,0.0,18.0,3.0,6035.0,6385.0,2155.0,1720.0,135.0,3590.0,1835.0,895.0,205.0,555.0
"Humbermede",22.0,"N/A",19.0,94.0,9.0,23.0,22.0,44.0,1.0,1.0,0.0,7475.0,8070.0,2945.0,2225.0,375.0,3275.0,3440.0,1830.0,155.0,780.0
"Pelmo Park-Humberlea",23.0,"N/A",32.0,50.0,3.0,24.0,10.0,24.0,1.0,4.0,0.0,5165.0,5560.0,1745.0,1370.0,230.0,750.0,1200.0,820.0,55.0,355.0
"Black Creek",24.0,"N/A",28.0,198.0,18.0,27.0,28.0,53.0,1.0,5.0,0.0,10145.0,11595.0,4600.0,3290.0,765.0,2110.0,6315.0,1780.0,705.0,1180.0
"Glenfield-Jane Heights",25.0,"N/A",55.0,247.0,24.0,28.0,59.0,63.0,1.0,11.0,5.0,14250.0,16245.0,5790.0,4520.0,1170.0,2150.0,7360.0,3680.0,345.0,1550.0
"Downsview-Roding-CFB",26.0,"N/A",54.0,311.0,26.0,53.0,49.0,88.0,1.0,10.0,6.0,16835.0,18225.0,5725.0,4340.0,780.0,1380.0,5455.0,3605.0,255.0,1420.0
"York University Heights",27.0,"N/A",59.0,288.0,27.0,96.0,57.0,106.0,2.0,33.0,3.0,13650.0,13940.0,4045.0,4750.0,1500.0,4180.0,5205.0,1765.0,280.0,1585.0
"Rustic",28.0,"N/A",10.0,46.0,5.0,15.0,6.0,8.0,0.0,3.0,0.0,4450.0,5485.0,1940.0,1405.0,135.0,420.0,3455.0,735.0,45.0,375.0
"Maple Leaf",29.0,"N/A",2.0,32.0,1.0,17.0,4.0,14.0,0.0,0.0,1.0,4850.0,5260.0,1500.0,1265.0,140.0,985.0,790.0,645.0,35.0,415.0
"Brookhaven-Amesbury",30.0,"N/A",15.0,91.0,9.0,31.0,25.0,29.0,0.0,3.0,1.0,8225.0,9535.0,3360.0,2460.0,450.0,1190.0,4770.0,1880.0,50.0,915.0
"Yorkdale-Glen Park",31.0,"N/A",24.0,139.0,15.0,64.0,19.0,41.0,1.0,23.0,0.0,6865.0,7945.0,1960.0,1870.0,850.0,865.0,1460.0,710.0,50.0,580.0
"Englemount-Lawrence",32.0,"N/A",4.0,111.0,4.0,59.0,42.0,22.0,0.0,7.0,0.0,9860.0,12515.0,4805.0,3030.0,390.0,365.0,2305.0,550.0,90.0,955.0
"Clanton Park",33.0,"N/A",3.0,57.0,10.0,41.0,7.0,49.0,1.0,5.0,1.0,7815.0,8660.0,2765.0,1910.0,500.0,400.0,560.0,255.0,155.0,565.0
"Bathurst Manor",34.0,"N/A",0.0,56.0,2.0,34.0,8.0,24.0,0.0,4.0,0.0,7510.0,8370.0,2325.0,1940.0,655.0,550.0,550.0,575.0,155.0,620.0
"Westminster-Branson",35.0,"N/A",5.0,108.0,7.0,19.0,9.0,24.0,0.0,6.0,2.0,12060.0,14215.0,3440.0,3355.0,775.0,720.0,1050.0,450.0,270.0,1290.0
"Newtonbrook West",36.0,"N/A",7.0,120.0,8.0,55.0,14.0,47.0,0.0,7.0,1.0,11230.0,12595.0,2810.0,3325.0,2650.0,1025.0,485.0,360.0,105.0,1050.0
"Willowdale West",37.0,"N/A",6.0,73.0,6.0,35.0,14.0,12.0,0.0,2.0,1.0,7990.0,8945.0,1785.0,2230.0,3655.0,860.0,220.0,190.0,190.0,845.0
"Lansing-Westgate",38.0,"N/A",8.0,63.0,7.0,42.0,8.0,27.0,0.0,7.0,2.0,7680.0,8490.0,2420.0,2105.0,1740.0,1005.0,405.0,240.0,185.0,665.0
"Bedford Park-Nortown",39.0,"N/A",5.0,30.0,4.0,100.0,12.0,30.0,0.0,9.0,1.0,10845.0,12390.0,4555.0,3210.0,1030.0,455.0,315.0,345.0,90.0,650.0
"St.Andrew-Windfields",40.0,"N/A",7.0,44.0,6.0,57.0,10.0,10.0,0.0,4.0,2.0,8525.0,9290.0,2645.0,2540.0,3845.0,1075.0,660.0,305.0,185.0,770.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",7.0,18.0,5.0,51.0,1.0,12.0,0.0,3.0,0.0,4460.0,4810.0,1435.0,1425.0,1410.0,375.0,115.0,65.0,40.0,360.0
"Banbury-Don Mills",42.0,"N/A",13.0,68.0,7.0,55.0,12.0,6.0,0.0,9.0,1.0,12825.0,14875.0,3605.0,2730.0,4630.0,2825.0,970.0,350.0,550.0,1010.0
"Victoria Village",43.0,"N/A",10.0,111.0,6.0,19.0,10.0,20.0,2.0,4.0,1.0,8110.0,9405.0,2630.0,2030.0,730.0,2985.0,2075.0,430.0,1070.0,870.0
"Flemingdon Park",44.0,"N/A",8.0,123.0,5.0,14.0,19.0,5.0,0.0,3.0,0.0,10535.0,11385.0,4385.0,3060.0,1015.0,7650.0,2130.0,390.0,370.0,1050.0
"Parkwoods-Donalda",45.0,"N/A",8.0,141.0,9.0,45.0,25.0,24.0,0.0,3.0,0.0,16455.0,18350.0,5840.0,4680.0,2875.0,3610.0,3910.0,1025.0,1515.0,1685.0
"Pleasant View",46.0,"N/A",4.0,47.0,4.0,32.0,13.0,7.0,0.0,2.0,0.0,7600.0,8225.0,2050.0,2080.0,5630.0,1310.0,745.0,145.0,405.0,810.0
"Don Valley Village",47.0,"N/A",15.0,103.0,14.0,64.0,17.0,26.0,0.0,8.0,3.0,12880.0,14160.0,4065.0,3280.0,6960.0,2890.0,1285.0,550.0,885.0,1330.0
"Hillcrest Village",48.0,"N/A",3.0,34.0,12.0,33.0,9.0,20.0,0.0,1.0,2.0,7925.0,9005.0,2115.0,2170.0,8225.0,1525.0,620.0,220.0,180.0,660.0
"Bayview Woods-Steeles",49.0,"N/A",3.0,31.0,7.0,33.0,0.0,18.0,0.0,1.0,1.0,6025.0,7125.0,1515.0,1635.0,4360.0,670.0,530.0,150.0,130.0,495.0
"Newtonbrook East",50.0,"N/A",14.0,70.0,4.0,41.0,7.0,5.0,1.0,6.0,0.0,7600.0,8500.0,1585.0,2185.0,4830.0,745.0,205.0,165.0,150.0,710.0
"Willowdale East",51.0,"N/A",15.0,118.0,16.0,80.0,22.0,44.0,0.0,12.0,2.0,23680.0,26740.0,5920.0,6940.0,16980.0,3375.0,1135.0,825.0,1320.0,2300.0
"Bayview Village",52.0,"N/A",8.0,67.0,9.0,33.0,8.0,13.0,0.0,5.0,0.0,10030.0,11360.0,2415.0,2505.0,5860.0,1360.0,755.0,410.0,355.0,910.0
"Henry Farm",53.0,"N/A",5.0,58.0,11.0,12.0,8.0,9.0,0.0,1.0,0.0,7685.0,8045.0,2505.0,2330.0,3080.0,3365.0,810.0,365.0,805.0,890.0
"O'Connor-Parkview",54.0,"N/A",12.0,118.0,11.0,34.0,20.0,7.0,0.0,6.0,2.0,9015.0,9660.0,3110.0,2385.0,635.0,1730.0,1865.0,340.0,155.0,970.0
"Thorncliffe Park",55.0,"N/A",20.0,71.0,3.0,24.0,12.0,4.0,0.0,11.0,3.0,10305.0,10810.0,5600.0,2455.0,435.0,9845.0,1115.0,305.0,685.0,1070.0
"Leaside-Bennington",56.0,"N/A",6.0,19.0,2.0,33.0,7.0,4.0,0.0,2.0,11.0,8020.0,8810.0,3285.0,2175.0,1025.0,450.0,280.0,140.0,75.0,635.0
"Broadview North",57.0,"N/A",8.0,45.0,6.0,16.0,9.0,8.0,0.0,2.0,0.0,5460.0,6040.0,1470.0,1040.0,470.0,630.0,565.0,250.0,125.0,540.0
"Old East York",58.0,"N/A",2.0,31.0,1.0,25.0,4.0,6.0,1.0,2.0,3.0,4545.0,4680.0,1470.0,915.0,745.0,295.0,265.0,110.0,30.0,255.0
"Danforth-East York",59.0,"N/A",9.0,39.0,3.0,41.0,6.0,11.0,0.0,4.0,0.0,8245.0,8920.0,3020.0,1450.0,1530.0,1030.0,700.0,300.0,95.0,650.0
"Woodbine-Lumsden",60.0,"N/A",9.0,30.0,6.0,14.0,3.0,3.0,0.0,5.0,0.0,3825.0,4045.0,1165.0,675.0,730.0,345.0,475.0,155.0,45.0,310.0
"Taylor-Massey",61.0,"N/A",9.0,88.0,7.0,42.0,16.0,8.0,1.0,5.0,2.0,7710.0,7975.0,2950.0,1690.0,675.0,5975.0,1535.0,215.0,115.0,910.0
"East End-Danforth",62.0,"N/A",10.0,144.0,15.0,79.0,31.0,21.0,0.0,12.0,2.0,10260.0,11115.0,3735.0,2210.0,1325.0,1700.0,1285.0,275.0,145.0,990.0
"The Beaches",63.0,"N/A",24.0,73.0,9.0,76.0,13.0,8.0,0.0,4.0,0.0,10235.0,11325.0,3825.0,2075.0,615.0,645.0,345.0,215.0,90.0,725.0
"Woodbine Corridor",64.0,"N/A",8.0,65.0,7.0,51.0,6.0,9.0,0.0,6.0,1.0,6055.0,6485.0,2325.0,1035.0,1025.0,610.0,775.0,140.0,40.0,560.0
"Greenwood-Coxwell",65.0,"N/A",14.0,74.0,11.0,62.0,10.0,14.0,0.0,7.0,1.0,7010.0,7415.0,2460.0,1305.0,2090.0,1070.0,940.0,205.0,80.0,595.0
"Danforth",66.0,"N/A",20.0,59.0,9.0,40.0,14.0,5.0,1.0,3.0,0.0,4790.0,4875.0,1675.0,920.0,820.0,705.0,340.0,85.0,25.0,340.0
"Playter Estates-Danforth",67.0,"N/A",6.0,56.0,4.0,24.0,10.0,6.0,0.0,3.0,0.0,3860.0,3945.0,1150.0,735.0,505.0,240.0,190.0,125.0,40.0,300.0
"North Riverdale",68.0,"N/A",6.0,45.0,9.0,41.0,23.0,6.0,1.0,4.0,1.0,5815.0,6095.0,1960.0,1170.0,1230.0,405.0,330.0,130.0,10.0,380.0
